Dish,Calories,Meal Type,Protein (g),Carbs (g),Fats (g),Calcium (mg),Iron (mg),Fiber (g),Serving Size (g)
Idli with Sambar,400,Breakfast,7,35,9,80,4.0,6,180
Poha,251,Breakfast,8,36,10,81,5.0,7,181
Upma,252,Breakfast,9,37,11,82,6.0,8,182
Aloo Paratha,253,Breakfast,10,38,12,83,4.0,6,183
Dosa with Chutney,254,Breakfast,7,39,13,84,5.0,7,184
Rava Idli,255,Breakfast,8,40,9,85,6.0,8,185
Misal Pav,256,Breakfast,9,41,10,86,4.0,6,186
Thepla,257,Breakfast,10,42,11,87,5.0,7,187
Kanda Poha,258,Breakfast,7,43,12,88,6.0,8,188
Besan Chilla,259,Breakfast,8,44,13,89,4.0,6,189
Methi Thepla,260,Breakfast,9,45,9,90,5.0,7,190
Paneer Paratha,261,Breakfast,10,46,10,91,6.0,8,191
Pesarattu,262,Breakfast,7,47,11,92,4.0,6,192
Vegetable Uttapam,263,Breakfast,8,48,12,93,5.0,7,193
Masala Dosa,264,Breakfast,9,49,13,94,6.0,8,194
Dal Chilla,265,Breakfast,10,35,9,95,4.0,6,195
Moong Dal Dosa,266,Breakfast,7,36,10,96,5.0,7,196
Chana Chaat,267,Breakfast,8,37,11,97,6.0,8,197
Vegetable Cheela,268,Breakfast,9,38,12,98,4.0,6,198
Oats Idli,269,Breakfast,10,39,13,99,5.0,7,199
Methi Paratha,270,Breakfast,7,40,9,100,6.0,8,200
Vegetable Dalia,271,Breakfast,8,41,10,101,4.0,6,201
Roti with Jaggery,272,Breakfast,9,42,11,102,5.0,7,202
Makai Roti with Sarson,273,Breakfast,10,43,12,103,6.0,8,203
Ragi Dosa,274,Breakfast,7,44,13,104,4.0,6,204
Multigrain Paratha,275,Breakfast,8,45,9,105,5.0,7,205
Stuffed Roti,276,Breakfast,9,46,10,106,6.0,8,206
Sabudana Khichdi,277,Breakfast,10,47,11,107,4.0,6,207
Sattu Paratha,278,Breakfast,7,48,12,108,5.0,7,208
Vegetable Porridge,279,Breakfast,8,49,13,109,6.0,8,209
Vegetable Poha,280,Breakfast,9,35,9,110,4.0,6,210
Spinach Uttapam,281,Breakfast,10,36,10,111,5.0,7,211
Beetroot Paratha,282,Breakfast,7,37,11,112,6.0,8,212
Khichdi,283,Breakfast,8,38,12,113,4.0,6,213
Rava Kesari,284,Breakfast,9,39,13,114,5.0,7,214
Jowar Roti,285,Breakfast,10,40,9,115,6.0,8,215
Vegetable Sprouts,286,Breakfast,7,41,10,116,4.0,6,216
Palak Poori with Aloo,287,Breakfast,8,42,11,117,5.0,7,217
Tomato Omelette (Vegetarian),288,Breakfast,9,43,12,118,6.0,8,218
Vegetable Frankie,289,Breakfast,10,44,13,119,4.0,6,219
Batata Poha,290,Breakfast,7,45,9,80,5.0,7,220
Dhokla,291,Breakfast,8,46,10,81,6.0,8,221
Kadhi Chawal,292,Breakfast,9,47,11,82,4.0,6,222
Besan Puda,293,Breakfast,10,48,12,83,5.0,7,223
Kuttu Paratha,294,Breakfast,7,49,13,84,6.0,8,224
Sooji Upma,295,Breakfast,8,35,9,85,4.0,6,225
Egg Bhurji,296,Breakfast,9,36,10,86,5.0,7,226
Paneer Bhurji,297,Breakfast,10,37,11,87,6.0,8,227
Carrot Paratha,298,Breakfast,7,38,12,88,4.0,6,228
Ragi Porridge,299,Breakfast,8,39,13,89,5.0,7,229
Dal Paratha,300,Breakfast,9,40,9,90,6.0,8,230
Bajra Roti with Jaggery,301,Breakfast,10,41,10,91,4.0,6,231
Roti with Bhindi,302,Breakfast,7,42,11,92,5.0,7,232
Chole Kulcha,303,Breakfast,8,43,12,93,6.0,8,233
Ragi Sprouts Salad,304,Breakfast,9,44,13,94,4.0,6,234
Lauki Paratha,305,Breakfast,10,45,9,95,5.0,7,235
Tomato Rice,306,Breakfast,7,46,10,96,6.0,8,236
Corn Chaat,307,Breakfast,8,47,11,97,4.0,6,237
Sprouted Moong Dosa,308,Breakfast,9,48,12,98,5.0,7,238
Cabbage Paratha,309,Breakfast,10,49,13,99,6.0,8,239
Dal Tikki,310,Breakfast,7,35,9,100,4.0,6,240
Roti with Dal,311,Breakfast,8,36,10,101,5.0,7,241
Chia Seed Pudding,312,Breakfast,9,37,11,102,6.0,8,242
Matar Poha,313,Breakfast,10,38,12,103,4.0,6,243
Egg Dosa,314,Breakfast,7,39,13,104,5.0,7,244
Jowar Upma,315,Breakfast,8,40,9,105,6.0,8,245
Puffed Rice with Sprouts,316,Breakfast,9,41,10,106,4.0,6,246
Vegetable Idiyappam,317,Breakfast,10,42,11,107,5.0,7,247
Multigrain Toast,318,Breakfast,7,43,12,108,6.0,8,248
Vegetable Paratha,319,Breakfast,8,44,13,109,4.0,6,249
Carrot Idli,320,Breakfast,9,45,9,110,5.0,7,250
Chickpea Pancakes,321,Breakfast,10,46,10,111,6.0,8,251
Greek Yogurt with Nuts,322,Breakfast,7,47,11,112,4.0,6,252
Avocado Toast,323,Breakfast,8,48,12,113,5.0,7,253
Oatmeal with Berries,324,Breakfast,9,49,13,114,6.0,8,254
Scrambled Eggs with Spinach,325,Breakfast,10,35,9,115,4.0,6,255
Whole Wheat Pancakes,326,Breakfast,7,36,10,116,5.0,7,256
Smoothie Bowl,327,Breakfast,8,37,11,117,6.0,8,257
Chia Pudding,328,Breakfast,9,38,12,118,4.0,6,258
Quinoa Breakfast Bowl,329,Breakfast,10,39,13,119,5.0,7,259
Cottage Cheese with Fruits,250,Breakfast,7,40,9,80,6.0,8,260
Egg White Omelette,251,Breakfast,8,41,10,81,4.0,6,261
Granola with Almond Milk,252,Breakfast,9,42,11,82,5.0,7,262
Peanut Butter Banana Toast,253,Breakfast,10,43,12,83,6.0,8,263
Veggie Stir-Fry with Tofu,254,Breakfast,7,44,13,84,4.0,6,264
Buckwheat Pancakes,255,Breakfast,8,45,9,85,5.0,7,265
Blueberry Protein Shake,256,Breakfast,9,46,10,86,6.0,8,266
Tofu Scramble,257,Breakfast,10,47,11,87,4.0,6,267
Hummus and Whole Wheat Toast,258,Breakfast,7,48,12,88,5.0,7,268
Overnight Oats,259,Breakfast,8,49,13,89,6.0,8,269
Spinach and Cheese Wrap,260,Breakfast,9,35,9,90,4.0,6,180
Multigrain Cereal,261,Breakfast,10,36,10,91,5.0,7,181
Chickpea Flour Pancakes,262,Breakfast,7,37,11,92,6.0,8,182
Flaxseed Smoothie,263,Breakfast,8,38,12,93,4.0,6,183
Coconut Chia Pudding,264,Breakfast,9,39,13,94,5.0,7,184
Banana Protein Muffins,265,Breakfast,10,40,9,95,6.0,8,185
Spinach and Mushroom Omelette,266,Breakfast,7,41,10,96,4.0,6,186
Baked Sweet Potato with Almond Butter,267,Breakfast,8,42,11,97,5.0,7,187
Zucchini Frittata,268,Breakfast,9,43,12,98,6.0,8,188
